CHAN_2,CHAN_26,CHAN_80,ORI,GRID
-70.000000,-73.400000,-67.400000,1,0
-68.800000,-66.100000,-63.300000,0,0
-68.000000,-67.200000,-71.300000,3,0
-69.300000,-73.100000,-66.800000,2,0
-62.000000,-63.400000,-62.300000,1,1
-65.400000,-64.100000,-65.000000,0,1
-73.600000,-74.400000,-65.300000,3,1
-61.000000,-67.400000,-70.800000,2,1
-65.600000,-61.700000,-58.600000,1,2
-70.000000,-68.900000,-69.100000,0,2
-64.600000,-58.600000,-63.900000,3,2
-65.100000,-64.300000,-62.000000,2,2
-56.400000,-57.200000,-58.600000,1,3
-63.100000,-66.900000,-68.900000,0,3
-70.200000,-67.800000,-72.700000,3,3
-61.500000,-63.300000,-68.500000,2,3
-60.400000,-53.300000,-55.700000,1,4
-66.800000,-63.000000,-68.300000,0,4
-70.000000,-64.500000,-69.000000,3,4
-62.500000,-55.800000,-61.200000,2,4
-65.400000,-67.500000,-64.300000,1,5
-65.800000,-67.800000,-69.300000,0,5
-63.300000,-67.600000,-67.700000,3,5
-69.300000,-68.300000,-65.000000,2,5
-60.000000,-55.700000,-64.400000,1,6
-63.400000,-69.200000,-74.400000,0,6
-63.100000,-65.300000,-65.700000,3,6
-65.400000,-59.600000,-67.800000,2,6
-60.300000,-65.700000,-62.800000,1,7
-68.100000,-64.600000,-64.100000,0,7
-70.700000,-72.900000,-69.600000,3,7
-58.200000,-57.700000,-60.100000,2,7
-59.900000,-61.300000,-58.000000,1,8
-59.100000,-54.700000,-54.900000,0,8
-64.100000,-63.000000,-68.100000,3,8
-55.100000,-53.000000,-54.000000,2,8
-67.600000,-68.300000,-57.000000,1,9
-69.300000,-61.100000,-60.100000,0,9
-73.900000,-72.200000,-77.100000,3,9
-61.700000,-55.400000,-55.200000,2,9
-66.900000,-59.200000,-67.200000,1,10
-65.800000,-64.000000,-70.200000,0,10
-68.400000,-65.500000,-73.600000,3,10
-72.600000,-63.000000,-71.300000,2,10
-63.600000,-59.400000,-61.300000,1,11
-63.700000,-62.000000,-59.600000,0,11
-71.600000,-60.800000,-70.700000,3,11
-65.400000,-56.100000,-60.400000,2,11
-61.700000,-65.100000,-58.700000,1,12
-63.800000,-69.300000,-61.500000,0,12
-68.800000,-66.800000,-63.700000,3,12
-58.800000,-63.100000,-55.600000,2,12
-53.000000,-50.000000,-53.800000,1,13
-55.700000,-52.100000,-58.100000,0,13
-62.300000,-62.900000,-71.500000,3,13
-58.000000,-54.300000,-65.000000,2,13
-58.400000,-56.500000,-55.500000,1,14
-68.200000,-61.400000,-64.300000,0,14
-61.400000,-64.100000,-61.000000,3,14
-59.300000,-58.000000,-54.700000,2,14
-67.300000,-68.500000,-70.000000,1,15
-74.500000,-73.000000,-68.200000,0,15
-67.600000,-58.200000,-68.300000,3,15
-62.900000,-61.600000,-57.100000,2,15
-62.900000,-65.000000,-63.700000,1,16
-66.500000,-60.600000,-62.200000,0,16
-65.800000,-63.300000,-76.200000,3,16
-65.800000,-59.200000,-59.400000,2,16
-67.300000,-56.500000,-59.400000,1,17
-68.800000,-64.900000,-64.800000,0,17
-63.500000,-58.100000,-66.500000,3,17
-65.100000,-60.400000,-65.000000,2,17
-63.100000,-65.200000,-64.900000,1,18
-59.200000,-56.800000,-62.100000,0,18
-60.300000,-61.900000,-62.500000,3,18
-51.500000,-50.700000,-54.700000,2,18
-60.600000,-59.700000,-54.200000,1,19
-54.200000,-51.400000,-60.000000,0,19
-63.400000,-54.700000,-58.400000,3,19
-54.800000,-49.500000,-53.000000,2,19
-62.400000,-64.800000,-62.400000,1,20
-68.500000,-73.800000,-72.700000,0,20
-73.700000,-75.300000,-74.500000,3,20
-62.500000,-62.900000,-65.900000,2,20
-70.000000,-69.900000,-65.800000,1,21
-62.900000,-66.300000,-70.300000,0,21
-61.100000,-65.400000,-77.600000,3,21
-63.900000,-63.000000,-66.700000,2,21
-52.400000,-54.400000,-56.100000,1,22
-69.600000,-60.300000,-69.200000,0,22
-68.000000,-63.000000,-59.500000,3,22
-56.100000,-54.800000,-54.500000,2,22
-57.500000,-52.800000,-53.500000,1,23
-57.200000,-58.600000,-59.200000,0,23
-55.500000,-54.400000,-64.800000,3,23
-59.900000,-55.000000,-60.500000,2,23
-45.000000,-45.000000,-45.000000,1,24
-46.000000,-45.100000,-46.200000,0,24
-45.100000,-45.000000,-46.700000,3,24
-45.000000,-45.000000,-45.000000,2,24
